Naam,Prijs,Beschrijving,Categorie,Foto,Tags,Beschikbaar,Oude prijs
Gold Hoop Earrings Small,19.95,Kleine gouden oorringen. Subtiel en elegant voor elke dag.,Sieraden,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&h=600&fit=crop,sieraden; goud; oorbellen; klein,Ja,
Gold Hoop Earrings Large,24.95,Grote gouden hoops die opvallen. Perfect als statement piece.,Sieraden,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&h=600&fit=crop,sieraden; goud; oorbellen; groot,Ja,
Silver Chain Necklace,29.95,Fijne zilveren ketting met subtiel hangertje. Draag hem solo of layer met andere kettingen.,Sieraden,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&h=600&fit=crop,sieraden; zilver; ketting,Ja,
Pearl Drop Earrings,22.95,Elegante oorbellen met parel hanger. Tijdloos en chic.,Sieraden,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&h=600&fit=crop,sieraden; parel; oorbellen,Ja,
Rose Gold Bracelet,17.95,Minimalistisch armbandje in rosegoud. Stapelbaar met andere armbanden.,Sieraden,https://images.unsplash.com/photo-1573408301185-9146fe634ad0?w=600&h=600&fit=crop,sieraden; rosegoud; armband,Ja,
Crystal Ring Gold,14.95,Gouden ring met klein kristal detail. Fijn en vrouwelijk.,Sieraden,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&h=600&fit=crop,sieraden; goud; ring; kristal,Ja,24.95
Chunky Chain Bracelet,27.95,Stoere gouden schakelarmband. De perfecte mix van elegant en edgy.,Sieraden,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=600&h=600&fit=crop,sieraden; goud; armband; chunky,Ja,
Brow Growth Serum,34.95,Stimuleert de groei van je wenkbrauwen voor vollere brows. Resultaat na 4-6 weken.,Brow producten,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=600&h=600&fit=crop,brows; serum; verzorging; groei,Ja,
Brow Lamination Aftercare Kit,24.95,Alles wat je nodig hebt na je brow lamination behandeling. Inclusief brow gel en voedend serum.,Brow producten,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=600&h=600&fit=crop,brows; lamination; aftercare; verzorging,Ja,
Brow Styling Gel Clear,12.95,Transparante brow gel die je wenkbrauwen de hele dag op hun plek houdt zonder te plakken.,Brow producten,https://images.unsplash.com/photo-1631214524020-7e18db9a8f92?w=600&h=600&fit=crop,brows; gel; styling,Ja,
Lash Growth Serum,39.95,Krachtig wimperserum voor langere en vollere wimpers. Zichtbaar resultaat na 3 weken.,Lash producten,https://images.unsplash.com/photo-1631214500115-598fc2cb8ada?w=600&h=600&fit=crop,lashes; serum; wimpers; groei,Ja,
Lash & Brow Oil,18.95,Voedende olie met castorolie en vitamine E voor sterke wimpers en wenkbrauwen.,Lash producten,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=600&h=600&fit=crop,lashes; brows; olie; verzorging,Ja,
Aftercare Healing Balm,15.95,Verzorgende balsem voor na je PMU behandeling. Kalmeert en voedt de huid.,PMU Aftercare,https://images.unsplash.com/photo-1611080626919-7cf5a9dbab5b?w=600&h=600&fit=crop,pmu; aftercare; healing; balsem,Ja,
Lip Scrub Rose,9.95,Zachte lip scrub met rozengeur. Perfecte voorbereiding voor een lip blush behandeling.,PMU Aftercare,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=600&h=600&fit=crop,lippen; scrub; verzorging; rozen,Ja,
Gift Card 50 Euro,50.00,Cadeaubon ter waarde van 50 euro. Geldig voor alle behandelingen en producten bij Brow Atelier & Ink.,Cadeaubonnen,https://images.unsplash.com/photo-1549465220-1a8b9238f561?w=600&h=600&fit=crop,cadeau; gift; cadeaubon; 50,Ja,
Gift Card 100 Euro,100.00,Cadeaubon ter waarde van 100 euro. Het perfecte cadeau voor iemand die het verdient om verwend te worden.,Cadeaubonnen,https://images.unsplash.com/photo-1549465220-1a8b9238f561?w=600&h=600&fit=crop,cadeau; gift; cadeaubon; 100,Ja,